CaseID,CaseType,CourtLevel,FilingDate,ServiceDate,FirstHearingDate,ResolutionDate,Disposition,IsAppealed,MonetaryAmount
CIV-100076,Personal Injury,Superior,2021-08-23,2021-09-01,2021-10-22,2022-01-22,Judgment for Defendant,True,0.0
CIV-100077,Medical Malpractice,Municipal,2021-05-23,2021-06-12,2021-09-15,2022-01-20,Judgment for Defendant,False,21605.93
CIV-100078,Small Claims,Superior,2023-12-12,2023-12-21,2024-02-12,2024-05-23,Default Judgment,True,19510.11
CIV-100079,Housing Code Violation,State,2017-09-15,2017-10-09,2017-12-10,2018-05-14,Transferred,False,49336.72
CIV-100080,Eviction,Appellate,2023-11-22,2023-11-23,2023-12-14,2024-03-28,Transferred,True,58364.78
CIV-100081,Employment Dispute,Federal District,2020-04-22,2020-05-10,2020-07-26,2020-11-21,Judgment for Plaintiff,False,0.0
CIV-100082,Personal Injury,State,2018-01-14,2018-01-24,2018-03-07,2018-06-04,Judgment for Plaintiff,True,0.0
CIV-100083,Eviction,Appellate,2023-07-19,2023-08-11,2023-09-13,2023-12-01,Judgment for Plaintiff,False,0.0
CIV-100084,Property Damage,Superior,2017-03-06,2017-03-16,2017-04-24,2017-08-24,Dismissed,True,97442.35
CIV-100085,Family Law,Municipal,2021-03-16,2021-03-26,2021-07-03,2021-09-03,Dismissed,False,44326.65
CIV-100086,Personal Injury,Municipal,2017-01-25,2017-01-27,2017-03-10,2017-08-09,Judgment for Defendant,False,63129.85
CIV-100087,Debt Collection,Municipal,2015-08-08,2015-08-13,2015-09-11,2016-03-03,Settled,True,41909.32
CIV-100088,Housing Code Violation,Appellate,2021-09-07,2021-10-03,2021-12-31,2022-03-28,Judgment for Defendant,False,59058.25
CIV-100089,Small Claims,Municipal,2019-10-23,2019-11-02,2020-01-23,2020-03-08,Settled,True,8578.15
CIV-100090,Property Damage,Municipal,2017-09-09,2017-09-15,2017-12-04,2018-01-22,Judgment for Defendant,False,47256.29
CIV-100091,Family Law,Municipal,2015-05-14,2015-05-22,2015-07-07,2015-10-17,Transferred,True,0.0
CIV-100092,Eviction,Appellate,2023-11-01,2023-11-27,2024-02-25,2024-08-23,Dismissed,True,90886.94
CIV-100093,Debt Collection,Federal District,2016-08-05,2016-08-08,2016-08-25,2016-11-05,Transferred,False,47135.45
CIV-100094,Housing Code Violation,Federal District,2018-05-30,2018-06-22,2018-08-22,2018-11-29,Judgment for Defendant,False,4466.15
CIV-100095,Contract Dispute,Municipal,2019-11-05,2019-11-29,2020-01-19,2020-04-22,Settled,True,0.0
CIV-100096,Contract Dispute,State,2022-07-16,2022-08-12,2022-09-25,2023-03-21,Judgment for Defendant,False,0.0
CIV-100097,Personal Injury,Appellate,2017-01-13,2017-02-01,2017-04-07,2017-09-09,Judgment for Plaintiff,False,67178.28
CIV-100098,Debt Collection,Appellate,2016-10-20,2016-10-31,2017-01-01,2017-06-06,Default Judgment,True,31794.46
CIV-100099,Housing Code Violation,Municipal,2018-08-17,2018-08-21,2018-12-07,2019-04-19,Transferred,False,19164.46
CIV-100100,Family Law,Municipal,2019-01-21,2019-02-10,2019-05-27,2019-10-31,Settled,False,92803.44
CIV-100101,Personal Injury,Municipal,2019-11-30,2019-12-29,2020-04-06,2020-09-07,Transferred,True,0.0
CIV-100102,Employment Dispute,Municipal,2018-06-26,2018-07-14,2018-07-25,2019-01-12,Settled,True,12187.88
CIV-100103,Housing Code Violation,Superior,2016-09-22,2016-10-08,2017-01-17,2017-05-01,Judgment for Defendant,False,0.0
CIV-100104,Employment Dispute,State,2017-09-25,2017-10-10,2017-12-29,2018-03-06,Default Judgment,True,0.0
CIV-100105,Medical Malpractice,Federal District,2018-02-05,2018-03-02,2018-06-21,2018-11-04,Judgment for Plaintiff,True,30206.31
CIV-100106,Property Damage,Appellate,2021-08-01,2021-08-20,2021-11-22,2022-04-26,Default Judgment,False,55415.78
CIV-100107,Eviction,State,2021-02-03,2021-02-16,2021-04-25,2021-08-15,Default Judgment,False,77666.68
CIV-100108,Employment Dispute,Appellate,2015-06-28,2015-07-09,2015-10-22,2016-03-21,Transferred,True,4183.45
CIV-100109,Family Law,Municipal,2020-08-19,2020-09-07,2020-10-29,2020-12-23,Default Judgment,False,14843.46
CIV-100110,Debt Collection,Superior,2022-05-05,2022-05-10,2022-05-29,2022-10-26,Default Judgment,False,85250.65
CIV-100111,Medical Malpractice,Appellate,2022-07-25,2022-08-22,2022-11-08,2023-03-15,Default Judgment,True,23859.64
CIV-100112,Personal Injury,Appellate,2022-09-04,2022-10-04,2022-11-19,2023-02-15,Dismissed,True,69553.12
CIV-100113,Debt Collection,Superior,2015-04-29,2015-05-01,2015-06-21,2015-08-04,Judgment for Plaintiff,False,53351.05
CIV-100114,Property Damage,State,2021-05-07,2021-05-29,2021-09-17,2021-12-02,Dismissed,False,24462.56
CIV-100115,Debt Collection,Appellate,2021-07-16,2021-07-21,2021-08-29,2022-01-24,Judgment for Plaintiff,True,0.0
CIV-100116,Property Damage,Municipal,2020-03-20,2020-04-18,2020-06-03,2020-11-19,Judgment for Defendant,False,0.0
CIV-100117,Family Law,Superior,2018-05-10,2018-05-31,2018-08-03,2018-11-05,Settled,False,0.0
CIV-100118,Medical Malpractice,Federal District,2016-03-12,2016-03-20,2016-05-17,2016-11-09,Judgment for Plaintiff,False,83088.74
CIV-100119,Contract Dispute,Federal District,2019-06-10,2019-06-19,2019-06-30,2019-12-21,Transferred,False,0.0
CIV-100120,Small Claims,Superior,2018-03-18,2018-04-12,2018-08-02,2018-10-29,Settled,True,67937.56
CIV-100121,Personal Injury,Municipal,2023-01-31,2023-02-25,2023-05-30,2023-08-03,Judgment for Plaintiff,False,36803.69
CIV-100122,Employment Dispute,State,2016-06-22,2016-06-25,2016-08-11,2016-12-02,Settled,True,0.0
CIV-100123,Property Damage,Superior,2019-02-07,2019-02-24,2019-05-09,2019-08-16,Judgment for Defendant,False,0.0
CIV-100124,Personal Injury,State,2018-10-19,2018-11-14,2018-12-08,2019-05-06,Settled,False,0.0
CIV-100125,Contract Dispute,Superior,2021-04-01,2021-04-13,2021-05-04,2021-09-12,Default Judgment,True,67446.42
CIV-100126,Medical Malpractice,Municipal,2022-07-16,2022-07-25,2022-10-17,2023-02-21,Transferred,True,62144.91
CIV-100127,Personal Injury,Appellate,2021-04-18,2021-04-29,2021-07-26,2021-10-20,Transferred,False,12109.26
CIV-100128,Personal Injury,Municipal,2015-07-05,2015-07-07,2015-08-24,2016-01-27,Settled,True,37415.65
CIV-100129,Small Claims,State,2023-05-02,2023-05-25,2023-08-12,2023-12-27,Judgment for Defendant,True,0.0
CIV-100130,Medical Malpractice,State,2021-11-26,2021-12-10,2022-01-24,2022-03-03,Judgment for Defendant,False,0.0
CIV-100131,Housing Code Violation,Superior,2019-01-25,2019-01-29,2019-05-06,2019-09-07,Dismissed,False,96836.58
CIV-100132,Small Claims,Municipal,2020-02-06,2020-02-09,2020-05-13,2020-08-05,Dismissed,False,13029.43
CIV-100133,Eviction,Federal District,2021-05-01,2021-05-08,2021-05-26,2021-11-13,Settled,True,15181.64
CIV-100134,Property Damage,Federal District,2021-09-07,2021-09-08,2021-10-23,2021-12-29,Judgment for Plaintiff,True,86711.56
CIV-100135,Small Claims,Superior,2016-06-23,2016-06-24,2016-08-18,2016-11-16,Dismissed,True,13112.48
CIV-100136,Family Law,Appellate,2019-09-21,2019-10-08,2019-11-01,2019-12-17,Judgment for Plaintiff,True,22544.2
CIV-100137,Debt Collection,Appellate,2021-11-24,2021-11-26,2022-03-09,2022-08-19,Transferred,True,48158.7
CIV-100138,Family Law,Appellate,2019-07-04,2019-07-18,2019-10-23,2019-12-19,Dismissed,True,15259.22
CIV-100139,Housing Code Violation,Superior,2016-05-31,2016-06-09,2016-09-06,2017-03-04,Judgment for Defendant,False,60739.97
CIV-100140,Housing Code Violation,State,2016-02-11,2016-03-08,2016-06-15,2016-08-13,Judgment for Defendant,False,0.0
CIV-100141,Employment Dispute,Appellate,2019-08-22,2019-09-02,2019-12-26,2020-05-20,Transferred,True,31596.1
CIV-100142,Personal Injury,Municipal,2017-11-10,2017-11-22,2017-12-21,2018-05-21,Dismissed,True,74586.6
CIV-100143,Contract Dispute,Federal District,2019-03-07,2019-04-02,2019-04-28,2019-10-17,Default Judgment,False,41375.46
CIV-100144,Debt Collection,Federal District,2022-06-18,2022-07-13,2022-09-15,2022-10-28,Judgment for Plaintiff,False,50987.55
CIV-100145,Personal Injury,Superior,2016-09-25,2016-10-17,2016-12-27,2017-03-24,Default Judgment,False,28217.54
CIV-100146,Small Claims,Federal District,2017-07-15,2017-08-10,2017-10-13,2018-04-04,Transferred,True,65954.21
CIV-100147,Debt Collection,Superior,2022-10-11,2022-10-20,2022-11-02,2023-01-17,Judgment for Plaintiff,False,87051.34
CIV-100148,Property Damage,Municipal,2021-05-08,2021-05-30,2021-07-30,2021-09-15,Dismissed,True,45637.76
CIV-100149,Small Claims,Federal District,2016-10-06,2016-10-18,2016-12-06,2017-03-29,Dismissed,True,75566.37
CIV-100150,Family Law,Appellate,2015-07-23,2015-08-14,2015-09-03,2015-12-11,Judgment for Defendant,False,21949.11
CIV-100151,Personal Injury,Superior,2020-09-29,2020-10-03,2020-11-26,2021-04-15,Transferred,False,31187.73
CIV-100152,Contract Dispute,State,2017-06-22,2017-07-05,2017-09-29,2017-11-12,Judgment for Plaintiff,True,0.0
CIV-100153,Personal Injury,Municipal,2023-07-28,2023-08-06,2023-09-22,2024-01-13,Judgment for Defendant,False,38330.64
CIV-100154,Medical Malpractice,Municipal,2022-11-22,2022-11-30,2023-02-12,2023-08-04,Judgment for Defendant,True,46245.55
CIV-100155,Employment Dispute,Federal District,2015-11-15,2015-12-13,2016-02-01,2016-07-27,Judgment for Defendant,False,40800.71
CIV-100156,Medical Malpractice,Municipal,2018-08-23,2018-08-29,2018-12-19,2019-05-15,Judgment for Defendant,True,59092.69
CIV-100157,Medical Malpractice,State,2020-11-16,2020-11-19,2021-01-18,2021-05-07,Judgment for Plaintiff,True,63505.85
CIV-100158,Medical Malpractice,State,2020-12-13,2020-12-30,2021-02-02,2021-06-01,Settled,True,20128.54
CIV-100159,Property Damage,Appellate,2021-10-03,2021-10-08,2022-01-23,2022-03-13,Judgment for Defendant,False,88263.79
CIV-100160,Medical Malpractice,State,2022-03-18,2022-04-08,2022-07-06,2022-10-26,Judgment for Defendant,True,63322.82
CIV-100161,Medical Malpractice,Federal District,2023-12-06,2023-12-15,2024-03-09,2024-04-22,Dismissed,False,4241.92
CIV-100162,Personal Injury,Federal District,2019-02-19,2019-03-18,2019-05-03,2019-06-21,Default Judgment,False,55654.48
CIV-100163,Small Claims,State,2023-11-18,2023-12-12,2023-12-27,2024-05-20,Judgment for Plaintiff,False,95793.37
CIV-100164,Personal Injury,Federal District,2020-01-20,2020-01-24,2020-05-16,2020-09-10,Transferred,True,70908.36
CIV-100165,Medical Malpractice,Superior,2019-12-05,2019-12-22,2020-03-07,2020-05-16,Judgment for Plaintiff,False,34167.53
CIV-100166,Personal Injury,Superior,2021-09-14,2021-09-16,2022-01-05,2022-04-30,Dismissed,False,72511.5
CIV-100167,Medical Malpractice,Municipal,2022-05-13,2022-06-12,2022-09-07,2022-11-14,Default Judgment,True,0.0
CIV-100168,Property Damage,Federal District,2018-06-24,2018-07-15,2018-10-22,2019-03-01,Transferred,True,37979.59
CIV-100169,Housing Code Violation,Municipal,2023-11-17,2023-11-28,2024-03-21,2024-05-22,Transferred,False,2313.94
CIV-100170,Family Law,State,2018-06-19,2018-06-25,2018-08-01,2018-11-26,Settled,True,29931.31
CIV-100171,Housing Code Violation,Municipal,2023-11-03,2023-11-07,2024-01-20,2024-07-06,Transferred,False,0.0
CIV-100172,Property Damage,State,2021-12-06,2021-12-11,2022-03-07,2022-07-11,Settled,True,0.0
CIV-100173,Family Law,Federal District,2015-06-28,2015-07-12,2015-09-06,2015-12-05,Judgment for Plaintiff,False,24297.27
CIV-100174,Medical Malpractice,Federal District,2023-10-18,2023-11-03,2024-02-27,2024-05-16,Judgment for Defendant,False,0.0
CIV-100175,Employment Dispute,State,2023-09-23,2023-10-06,2023-12-19,2024-06-01,Settled,True,0.0
CIV-100176,Housing Code Violation,Municipal,2015-08-02,2015-08-23,2015-11-02,2016-03-06,Transferred,True,76430.12
CIV-100177,Employment Dispute,Municipal,2018-01-22,2018-02-06,2018-04-22,2018-06-28,Settled,False,0.0
CIV-100178,Housing Code Violation,Superior,2015-04-20,2015-05-04,2015-05-20,2015-09-28,Settled,False,0.0
CIV-100179,Personal Injury,Superior,2019-03-16,2019-03-24,2019-04-06,2019-07-26,Settled,True,91780.92
CIV-100180,Family Law,Appellate,2020-04-19,2020-05-12,2020-09-05,2020-11-09,Default Judgment,True,0.0
CIV-100181,Housing Code Violation,Federal District,2015-03-19,2015-03-28,2015-05-04,2015-07-11,Default Judgment,False,29166.11
CIV-100182,Employment Dispute,Federal District,2018-05-18,2018-05-22,2018-06-07,2018-09-06,Judgment for Defendant,True,90562.12
CIV-100183,Small Claims,State,2021-09-10,2021-09-28,2021-10-10,2022-03-20,Transferred,True,655.65
CIV-100184,Property Damage,Municipal,2018-12-16,2018-12-24,2019-03-17,2019-07-31,Default Judgment,False,52842.91
CIV-100185,Contract Dispute,Appellate,2020-09-09,2020-10-05,2020-12-18,2021-06-07,Judgment for Defendant,True,98113.42
CIV-100186,Personal Injury,Superior,2017-11-04,2017-11-28,2017-12-10,2018-04-10,Settled,True,0.0
CIV-100187,Contract Dispute,Superior,2023-03-31,2023-04-25,2023-06-16,2023-08-19,Default Judgment,False,0.0
CIV-100188,Family Law,State,2016-12-18,2017-01-14,2017-05-03,2017-09-28,Settled,True,0.0
CIV-100189,Contract Dispute,State,2020-02-18,2020-02-20,2020-04-07,2020-06-27,Dismissed,False,0.0
CIV-100190,Family Law,Superior,2020-10-12,2020-10-25,2021-02-16,2021-08-04,Dismissed,True,86282.78
CIV-100191,Debt Collection,Municipal,2015-07-15,2015-08-12,2015-11-13,2016-03-06,Judgment for Plaintiff,False,0.0
CIV-100192,Property Damage,Appellate,2023-05-03,2023-05-18,2023-07-16,2023-11-09,Transferred,False,79830.44
CIV-100193,Personal Injury,Appellate,2017-12-28,2018-01-23,2018-02-12,2018-06-30,Default Judgment,True,32460.54
CIV-100194,Debt Collection,Appellate,2015-11-24,2015-12-05,2016-03-08,2016-06-21,Default Judgment,False,44668.88
CIV-100195,Small Claims,Appellate,2020-01-06,2020-01-08,2020-04-20,2020-08-18,Judgment for Plaintiff,True,63932.5
CIV-100196,Contract Dispute,State,2019-01-28,2019-02-14,2019-06-06,2019-08-15,Default Judgment,False,7189.72
CIV-100197,Employment Dispute,Federal District,2023-09-24,2023-10-15,2023-12-10,2024-04-10,Dismissed,True,94907.94
CIV-100198,Small Claims,State,2019-03-04,2019-03-19,2019-07-04,2019-08-22,Default Judgment,False,65131.29
CIV-100199,Family Law,Federal District,2017-10-19,2017-10-23,2017-11-05,2018-01-21,Judgment for Defendant,True,26398.83
CIV-100200,Family Law,State,2020-01-02,2020-01-09,2020-04-06,2020-07-18,Dismissed,True,0.0
CIV-100201,Personal Injury,Superior,2020-01-26,2020-02-01,2020-05-12,2020-10-02,Transferred,False,0.0
CIV-100202,Property Damage,State,2021-03-02,2021-03-20,2021-05-06,2021-08-20,Judgment for Plaintiff,True,20497.55
CIV-100203,Contract Dispute,Superior,2016-07-22,2016-07-30,2016-11-18,2017-04-23,Default Judgment,False,98309.69
CIV-100204,Debt Collection,Appellate,2016-06-15,2016-07-05,2016-07-26,2016-09-10,Transferred,False,77031.87
CIV-100205,Personal Injury,Appellate,2021-06-12,2021-06-15,2021-07-11,2021-10-30,Judgment for Defendant,False,82990.85
CIV-100206,Property Damage,Appellate,2021-03-08,2021-03-29,2021-06-22,2021-09-06,Default Judgment,True,0.0
CIV-100207,Property Damage,Superior,2020-10-23,2020-10-28,2020-12-15,2021-02-25,Transferred,True,94119.95
CIV-100208,Eviction,Federal District,2018-03-09,2018-04-06,2018-04-26,2018-07-29,Judgment for Plaintiff,True,61635.61
CIV-100209,Small Claims,Federal District,2016-01-18,2016-02-04,2016-05-06,2016-07-18,Settled,True,72202.96
CIV-100210,Contract Dispute,Municipal,2021-10-14,2021-10-25,2022-02-19,2022-08-12,Dismissed,True,0.0
CIV-100211,Small Claims,Appellate,2023-08-25,2023-09-13,2023-10-26,2024-01-17,Default Judgment,True,62902.82
CIV-100212,Eviction,Appellate,2018-04-01,2018-04-22,2018-06-09,2018-11-09,Judgment for Plaintiff,False,6461.35
CIV-100213,Eviction,Superior,2019-12-06,2019-12-20,2020-02-29,2020-07-26,Default Judgment,True,71977.11
CIV-100214,Property Damage,Superior,2023-03-27,2023-04-24,2023-06-17,2023-10-27,Default Judgment,True,46914.02
CIV-100215,Personal Injury,Municipal,2017-12-31,2018-01-15,2018-02-25,2018-05-02,Judgment for Plaintiff,False,0.0
CIV-100216,Medical Malpractice,Federal District,2019-09-09,2019-09-17,2020-01-15,2020-03-25,Transferred,False,16354.57
CIV-100217,Family Law,Municipal,2020-10-09,2020-10-24,2021-01-05,2021-04-23,Dismissed,False,96685.32
CIV-100218,Contract Dispute,Superior,2017-05-31,2017-06-19,2017-08-13,2017-09-24,Judgment for Defendant,False,1313.65
CIV-100219,Medical Malpractice,Appellate,2016-03-16,2016-03-30,2016-04-26,2016-08-01,Judgment for Plaintiff,True,57243.02
CIV-100220,Personal Injury,Appellate,2017-03-08,2017-03-20,2017-06-08,2017-09-19,Default Judgment,False,0.0
CIV-100221,Property Damage,Municipal,2018-02-19,2018-03-18,2018-06-15,2018-08-14,Judgment for Defendant,False,0.0
CIV-100222,Eviction,Federal District,2018-10-20,2018-11-07,2019-01-02,2019-03-09,Default Judgment,False,5007.68
CIV-100223,Housing Code Violation,Appellate,2016-07-15,2016-08-07,2016-09-28,2017-02-26,Settled,True,61500.28
CIV-100224,Small Claims,Superior,2016-10-27,2016-11-09,2017-02-05,2017-05-22,Default Judgment,False,0.0
CIV-100225,Medical Malpractice,Superior,2018-05-12,2018-05-28,2018-09-19,2018-10-23,Transferred,True,0.0
CIV-100226,Small Claims,Appellate,2021-07-18,2021-07-28,2021-11-16,2021-12-22,Judgment for Plaintiff,True,0.0
CIV-100227,Small Claims,Appellate,2021-07-18,2021-08-03,2021-09-03,2022-02-14,Settled,True,94846.41
CIV-100228,Medical Malpractice,Appellate,2016-03-26,2016-04-02,2016-04-14,2016-09-03,Settled,False,41332.55
